,1642 - adult,1691 - adventure,1746 - Africa,2056 - aliens,2313 - American literature,2690 - anthology,3027 - art-history,3611 - autobiography,4594 - biographies,4605 - biography,5870 - Buddhism,5951 - business,6750 - chick-lit,6960 - childrens-books,7077 - Christian,7224 - Christmas,7457 - classics,7725 - comedy,7739 - comic,8055 - contemporary,8130,8517,8755,8922,9318,9886,10064,10245,10304,10641,10708,10731,10825,10866,11152,11221,11305,11425,11743,11937,12452,13446,13547,13643,13873,14134,14467,14487,14527,14821,15048,15505,16651,17639,18869,19052,19742,20673,20939,21024,21195,21672,21689,22973,23005,23334,23471,23535,23569,23605,23743,23831,23909,25562,25685,26138,26371,26771,26816,27095,27438,27669,28247,28259,28422,28466,29005,29452,30208,30241,30358,31254,32130,33114
23,2.92,3,3,3,3,3,3,3,4,3.4,3,3,2.538461538,4,3,3,3,3,3,2.739130435,3,3.222222222,3,3,3,3.5,3,3,3,3,3,3,2,3,3,3.166666667,3.666666667,3,2.944444444,3,3,4,4,3,3,3,3.5,3,3,3.5,3,3,3,3,3,3,3.333333333,3,3.066666667,3,3,3,3.428571429,4,3,3,3,3,3,3,3,3,3,3,3,2.642857143,3,3,3,2,3,4,3,3,3,3,3,3,3,3,3,3,4,2.875
35,2.943396226,3.25,3.125,3,2.375,3,3,3,3,4,3,3,2.5,3,3,3,3.125,2,3,2.761904762,3,3.571428571,3,3,3,3.2,3,3,3,2.9,2,3.25,3,3,2,3.25,2.888888889,3,3.008333333,3,4,2.6,3,3,3,3,3.418604651,3.225806452,3.25,2.5,2.285714286,3,4,3,3,3,4,3,3.285714286,2.666666667,2,3,4,2.2,3,3,3.4,3,3,3,3,2,3,3,3,2.931818182,4,3,4,3,3,3.25,3,3,3,3,3,3,3,3,3.666666667,3,4,3.047619048
40,3.857142857,3,3,3,3,3,3,3.5,3.5,3.818181818,3,3.333333333,3,3,3,3,5,4,3,3.666666667,3,4,3,3,3,3,3,3.5,3,3,3,3,3,3,3,3.5,3,3,4.083333333,4,3,3,3,3,3,3,4.5,4.5,3,3,4.4,3,4.333333333,3,3,3,4,3.5,3,3,3,3,4.066666667,3,3,3,3,3,3,3,3,3,4,3,3,3.5,3,3,3,4,3,4.75,3,3,3,3,3,3,3,3,3,4,3,3
